Escrito: salida_clasica.txt (300000 bytes)
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 85.50    0.004680          62        75           write
  9.72    0.000532         177         3           close
  1.74    0.000095          31         3           openat
  0.86    0.000047          11         4           newfstatat
  0.79    0.000043          14         3           brk
  0.62    0.000034          34         1           munmap
  0.40    0.000022          22         1           getrandom
  0.38    0.000021          21         1           prlimit64
  0.00    0.000000           0         1           read
  0.00    0.000000           0         8           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.005474          47       115         2 total
